Country;Overall;Overall mean;Female;Female mean;Male;Male mean
Nauru;1;325;4;328;1;321
Tonga;2;319;1;335;2;304
Samoa;3;317;1;335;3;299
Kuwait;4;300;6;308;4;295
Saint Kitts and Nevis;5;297;5;309;12;284
Saint Lucia;6;296;9;302;7;289
Kiribati;6;296;8;305;9;287
Palau;8;294;19;295;5;294
Federated States of Micronesia;8;294;4;31;22;278
Tuvalu;10;293;14;299;9;287
Qatar;11;292;11;301;6;29
Marshall Islands;11;292;12;30;12;284
Egypt;11;292;7;307;26;276
United Arab Emirates;14;290;15;297;11;286
Jordan;15;289;15;297;15;282
Belize;15;289;9;302;26;276
United States of America;17;288;27;288;8;288
Bahamas;17;288;17;296;16;28
Trinidad and Tobago;19;287;21;294;20;279
Barbados;19;287;12;30;38;274
Saudi Arabia;21;285;29;287;14;283
Libya;22;284;17;296;46;272
Bahrain;23;282;32;286;16;28
Mexico;24;281;29;287;33;275
Antigua and Barbuda;24;281;19;295;44;273
Syria;24;281;24;29;46;272
Iraq;27;280;27;288;46;272
New Zealand;28;279;41;278;16;28
Lebanon;29;278;45;276;16;28
Chile;29;278;38;28;26;276
Turkey;29;278;33;285;50;271
Argentina;32;277;47;275;22;278
Ireland;33;275;57;271;20;279
Andorra;33;275;57;271;22;278
Kazakhstan;35;274;47;275;38;274
El Salvador;35;274;38;28;56;268
Azerbaijan;35;274;36;281;67;266
Suriname;35;274;35;282;69;265
Jamaica;35;274;22;292;105;255
United Kingdom;40;273;57;271;33;275
Greece;40;273;55;272;38;274
Saint Vincent and the Grenadines;40;273;36;281;69;265
South Africa;40;273;23;291;110;254
Australia;44;272;69;268;26;276
Canada;44;272;69;268;26;276
Malta;44;272;69;268;33;275
Venezuela;44;272;57;271;38;274
Georgia;44;272;52;273;46;272
Fiji;44;272;34;284;85;261
Panama;50;271;43;277;76;264
Cyprus;51;270;87;263;26;276
Ecuador;51;270;43;277;76;264
Grenada;51;270;29;287;113;252
Dominica;51;270;24;29;116;251
Czech Republic;55;269;94;26;22;278
Slovenia;55;269;87;263;33;275
Oman;55;269;57;271;56;268
Costa Rica;55;269;57;271;60;267
Nicaragua;55;269;41;278;88;26
Uruguay;60;268;67;269;60;267
Tunisia;60;268;47;275;88;26
Seychelles;60;268;38;28;100;256
Spain;63;267;94;26;38;274
Moldova;63;267;57;271;82;263
Dominican Republic;63;267;50;274;88;26
Armenia;63;267;50;274;92;259
Lithuania;67;266;94;26;44;273
Belarus;67;266;90;262;50;271
Swaziland;69;265;26;289;130;241
Luxembourg;69;265;112;255;26;276
Slovakia;69;265;102;257;38;274
Russia;69;265;69;268;85;261
Guatemala;69;265;57;271;96;258
Poland;74;264;102;257;52;27
Turkmenistan;74;264;82;264;76;264
Honduras;74;264;52;273;105;255
Guyana;77;263;45;276;117;25
Hungary;77;263;119;252;33;275
Germany;77;263;106;256;52;27
Israel;77;263;90;262;82;263
Peru;77;263;67;269;98;257
Iran;82;262;55;272;112;253
Portugal;82;262;102;257;60;267
Brunei;82;262;78;266;96;258
Cuba;82;262;75;267;100;256
Kyrgyzstan;82;262;69;268;100;256
Vanuatu;82;262;69;268;100;256
Algeria;82;262;66;27;105;255
Albania;89;261;106;256;67;266
Bosnia and Herzegovina;89;261;102;257;69;265
Uzbekistan;89;261;87;263;92;259
Mongolia;92;260;82;264;105;255
Norway;92;260;119;252;55;269
Italy;92;260;119;252;56;268
Bulgaria;92;260;115;253;60;267
Montenegro;92;260;112;255;69;265
Ukraine;92;260;101;258;76;264
Bolivia;98;259;52;273;122;246
Colombia;98;259;80;265;110;254
Brazil;98;259;94;26;92;259
Iceland;98;259;123;251;60;267
Finland;98;259;115;253;69;265
Yemen;103;258;80;265;113;252
Paraguay;103;258;94;26;100;256
Latvia;103;258;123;251;56;268
Sweden;103;258;131;249;60;267
Serbia;103;258;119;252;76;264
Macedonia;103;258;115;253;76;264
Mauritius;109;256;90;262;117;25
Equatorial Guinea;109;256;93;261;117;25
Morocco;109;256;99;259;113;252
Gabon;112;255;82;264;122;246
Solomon Islands;112;255;82;264;124;245
Belgium;112;255;134;247;84;262
Estonia;112;255;142;243;52;27
Croatia;112;255;135;246;69;265
Tajikistan;117;254;115;253;105;255
Netherlands;117;254;129;25;92;259
Austria;117;254;140;244;69;265
Papua New Guinea;120;253;106;256;117;25
Malaysia;120;253;106;256;117;25
Romania;120;253;131;249;98;257
Denmark;120;253;139;245;88;26
France;120;253;135;246;85;261
Switzerland;120;253;155;238;60;267
South Sudan;126;252;75;267;134;237
Sudan;126;252;75;267;134;237
Maldives;128;251;99;259;127;242
Lesotho;129;249;57;271;151;227
Mauritania;130;248;82;264;142;232
Sao Tome and Principe;130;248;106;256;131;239
Botswana;132;247;78;266;147;229
Cabo Verde;132;247;114;254;131;239
Cameroon;134;244;123;251;133;238
Namibia;135;243;106;256;147;229
Ghana;136;242;123;251;139;234
Comoros;137;241;123;251;145;23
Thailand;137;241;135;246;136;236
Angola;137;241;135;246;138;235
Haiti;137;241;148;24;127;242
Gambia;141;240;123;251;145;23
Liberia;141;240;131;249;142;232
China;143;239;157;236;127;242
South Korea;143;239;160;234;125;243
Pakistan;145;238;140;244;141;233
Bhutan;145;238;144;242;139;234
Singapore;147;237;165;232;125;243
Côte d'Ivoire;148;236;145;241;142;232
Zimbabwe;149;234;129;25;172;218
Benin;149;234;142;243;153;226
Nigeria;149;234;148;24;150;228
Republic of the Congo;152;233;145;241;155;225
Djibouti;152;233;153;239;151;227
Togo;154;232;148;24;157;224
Philippines;154;232;160;234;147;229
Guinea-Bissau;156;231;153;239;162;222
Tanzania;156;231;148;24;162;222
Senegal;158;230;145;241;172;218
Kenya;158;230;148;24;169;219
Sri Lanka;158;230;159;235;155;225
Indonesia;161;229;160;234;157;224
Sierra Leone;162;228;157;236;168;22
Malawi;162;228;163;233;161;223
Mali;162;228;168;23;153;226
Guinea;165;227;163;233;164;221
Zambia;166;226;155;238;178;215
Myanmar;166;226;165;232;164;221
Laos;166;226;171;227;157;224
Japan;166;226;183;217;136;236
Central African Republic;170;224;165;232;176;216
Mozambique;171;223;168;23;176;216
Chad;171;223;173;225;164;221
Democratic Republic of the Congo;173;222;173;225;172;218
Nepal;173;222;178;22;157;224
Burkina Faso;175;221;178;22;164;221
Uganda;176;220;168;23;185;21
Rwanda;176;220;171;227;182;213
Somalia;178;219;173;225;184;212
India;178;219;177;221;172;218
Cambodia;178;219;178;22;169;219
North Korea;181;218;181;218;169;219
Niger;182;217;176;222;182;213
Vietnam;183;216;184;216;178;215
Afghanistan;183;216;181;218;178;215
Timor-Leste;185;212;188;21;178;215
Madagascar;186;211;186;212;186;209
Bangladesh;187;210;186;212;187;207
Burundi;188;209;185;213;188;204
Ethiopia;189;206;188;21;189;202
Eritrea;190;205;188;21;190;201
